Company Name,Competitors,Founded,Headquarters,Rating,Revenue,Sector,Size,Type of ownership,Website,Company Description,wikisite,uri_name
cdk global,"Reynolds and Reynolds, Cox Automotive, Dealer.com",2014.0,"Hoffman Estates, IL",3.0,$2 to $5 billion (USD),Information Technology,5001 to 10000 employees,Company - Public,http://www.cdkglobal.com/,,http://www.wikidata.org/entity/Q55454124,cdk_global
cdw consultants,,1990.0,"Natick, MA",4.6,$1 to $5 million (USD),Business Services,1 to 50 employees,Company - Private,,,,cdw_consultants
celanese,,,,,,,,,,,,celanese
cengage,"Pearson, McGraw-Hill, EBSCO Industries",2007.0,"Boston, MA",3.8,$1 to $2 billion (USD),Media,1001 to 5000 employees,Company - Private,,,,cengage
centauri,"TASC, Vencore, Booz Allen Hamilton",1999.0,"Chantilly, VA",4.7,$100 to $500 million (USD),Aerospace & Defense,501 to 1000 employees,Company - Private,,,,centauri
centizen,,2003.0,"Beaverton, OR",4.5,,,201 to 500 employees,Company - Private,,,,centizen
"central business solutions, inc",,,"Fremont, CA",3.0,$5 to $10 million (USD),Business Services,51 to 200 employees,Company - Private,,,,central_business_solutions
central california alliance for health,,1996.0,"Scotts Valley, CA",3.5,$500 million to $1 billion (USD),Health Care,501 to 1000 employees,Nonprofit Organization,http://www.ccah-alliance.org/,,,central_california_alliance
central insurance companies,,1876.0,"Van Wert, OH",4.3,$500 million to $1 billion (USD),Insurance,501 to 1000 employees,Company - Private,,,,central_insurance_companies
centralreach,"DataFinch Technologies, Accupoint Software Solution, CodeMetro",2012.0,"Pompano Beach, FL",4.7,,Information Technology,201 to 500 employees,Company - Private,,,,centralreach
centro,"Mediaocean, The Trade Desk, MediaMath",2001.0,"Chicago, IL",4.1,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,http://www.centro.net/,,,centro
centro,,2010.0,"Cambridge, MA",3.3,$10 to $25 million (USD),Biotech & Pharmaceuticals,1001 to 5000 employees,Company - Public,http://www.centro.net/,,,centro
centurylink,,1930.0,Monroe,,,,"10,000 employees or more",,http://www.centurylink.com/,"CenturyLink(NYSE:CTL) is a premier network solutions provider and trusted partner to our customers. As part of our recent acquisition of Level 3 Communications, our portfolio has expanded. More customers. More network. More locations. More opportunities for you. With a global presence in 60 countries, service to more than 350 metro areas domestically, and more than 450,000 miles of fiber; CenturyLink is going places.
“Don’t see anything of interest here?  Head over to www.centurylink.com/careeropportunities where you can join our Talent Community and set up a job search.  You’ll receive exclusive information about our latest career opportunities along with news on how CenturyLink is shaping the world of technology.”",,centurylink
cerus corporation,,,"Concord, CA",2.1,$25 to $50 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,http://www.cerus.com/,,http://www.wikidata.org/entity/Q30281710,cerus
"cgi group, inc.",,,,,,,,,,,,cgi_group_inc
cgs,,,,,,,,,,,,cgs
"change healthcare technologies, llc",,,,,,,,,,,,change_healthcare_technology
chesapeake technology international,,2000.0,"California, MD",4.1,,Information Technology,51 to 200 employees,Company - Private,,,,chesapeake_technology_international
chg healthcare,,1979.0,"Midvale, UT",4.4,$100 to $500 million (USD),Business Services,1001 to 5000 employees,Company - Private,,,,chg_healthcare
church & dwight,,1846.0,"Ewing, NJ",3.4,$2 to $5 billion (USD),Manufacturing,1001 to 5000 employees,Company - Public,,,http://www.wikidata.org/entity/Q5116536,church_dwight
"ciber, inc.",,1974.0,"US, Troy, Michigan",,,,"5,000 to 9,999 employees",,https://www.ciber.com/,"For more than 26 years, HTC and their entities have delivered technical savvy IT solutions that help businesses achieve strategic goals. A global IT consulting company with some 8,000 employees. The HTC team is comprised of top-tier technologists and business leaders who care deeply about delivering exceptional solutions for your organization.",,ciber_inc
cibersql,,2005.0,"Pittsburgh, PA",5.0,,Information Technology,51 to 200 employees,Company - Private,,,,cibersql
cisco systems - engineering - software,"Alcatel-Lucent, Juniper Networks",1984.0,"San Jose, CA",4.1,$10+ billion (USD),Information Technology,10000+ employees,Company - Private,http://www.cisco.com/,,,cisco_systems_
citi,,1812.0,"New York, NY",3.6,$10+ billion (USD),Finance,10000+ employees,Company - Public,,,,citi
citti handelsgesellschaft mbh & co. kg,,1994.0,"Kiel, Germany",,,,1001 to 5000 employees,Unknown,,,,citti_handelsgesellschaft_mbh
"civil consulting group, pllc",,,,,,,,,,,,civil_consulting_group
"civil southeast, llc",,1971.0,"New York, NY",3.7,$5 to $10 billion (USD),"Construction, Repair & Maintenance",5001 to 10000 employees,Company - Public,,,,civil_southeast_llc
ck-12 foundation,,2007.0,"Palo Alto, CA",4.1,,Education,1 to 50 employees,Company - Private,,,,ck_12_foundation
clari,,,,,,,,,,,,clari
clarus commerce,,2001.0,"Rocky Hill, CT",4.1,,Information Technology,51 to 200 employees,Company - Private,http://www.claruscommerce.com/,,,clarus_commerce
clearbridge technology group,,2005.0,"Billerica, MA",4.0,$25 to $50 million (USD),Information Technology,201 to 500 employees,Company - Private,,,,clearbridge_technology_group
clearedge,,2002.0,"Annapolis Junction, MD",4.0,$5 to $10 million (USD),Information Technology,51 to 200 employees,Company - Private,,,,clearedge
clearone advantage,,2008.0,"Baltimore, MD",4.1,,Finance,501 to 1000 employees,Company - Private,http://www.clearoneadvantage.com/,,,clearone_advantage
clearwater analytics,,2004.0,"Boise, ID",4.2,$50 to $100 million (USD),Finance,501 to 1000 employees,Company - Private,,,,clearwater_analytics
clinc,,2015.0,"Ann Arbor, MI",3.7,,Information Technology,51 to 200 employees,Company - Private,,,,clinc
clinpharma consulting global group (ccgg),,,,,,,,,,,,clinpharma_consulting_global
cloudflare,,2010.0,"San Francisco, CA",3.7,,Information Technology,1001 to 5000 employees,Company - Public,,,http://www.wikidata.org/entity/Q4778915,cloudflare
cloutera,,2016.0,"US, Seattle",,,,1 to 9 employees,,http://www.cloutera.com/,"Powered by data, driven by people, and passionate about diversity, Cloutera is a Seattle-based leading provider of On-Demand Recruiting and Diversity Hiring Solutions. We partner with startups and emerging growth firms who need to scale their workforce quickly by dropping smart and motivated recruiters into high-urgency situations, backing them up with a team of researchers and providing the tools and resources necessary for success. Our solutions are customizable and can be as simple as providing a contract recruiter for a short period of time to full recruitment process outsourcing (RPO) where we take full responsibility for the recruiting process from start to finish.
Experts in Technical Recruiting – As an employer of choice for recruiters, we attract the most qualified individuals with proven track records, backgrounds, and practical business experience needed to perform excellent work.
  A Top Notch Research & Sourcing Team – All of our recruiters have access to a centralized candidate research and sourcing team. This allows for an approach that focuses on the unique needs of highly desirable candidates, while significantly increasing recruiter efficiency.
  Leading the Way in Diversity Segmentation Recruiting – Cloutera leads the industry in segmented diversity recruiting techniques and marketing campaigns. Our innovative ideas combine technology, people, and a data-driven approach.
  Exceptional Training – By promoting a culture of ongoing learning with training, Cloutera both attracts the top recruiters and ensures their retention, which creates a strong network of on-demand recruiters for your urgent staffing needs.
  Specialties – Full Lifecycle Recruiting, Sourcing Recruiting & Research Based Identification, Recruitment Strategy for Startups, Recruitment Process & Platform Selection, Segmented Diversity Recruiting, Community Engagement, Diversity Marketing, and Employment Branding",,cloutera
"cmc tech, inc.",,,,,,,,,,,,cmc_tech_inc
cognizance technologies,"Tata Consultancy Services, Accenture, Capgemini",1994.0,"Teaneck, NJ",3.7,$10+ billion (USD),,10000+ employees,Company - Public,,,,cognizance_technology
cognizant,,,,,,,,,,,,cognizant
"colaberry, inc.",,,,,,,,,,,,colaberry_inc
collabera,,1991.0,"US, 110 Allen Road Basking Ridge, New Jersey",,,,"10,000 employees or more",,http://www.collabera.com,"Since 1991, Collabera has been a leading provider of IT staffing solutions and services. We are known for providing the best staffing experience and taking great care of our clients and employees.

Our client-centric model provides focus, commitment and a dedicated team to help our clients achieve their business objectives. For consultants and employees, we offer an enriching experience that promotes career growth and lifelong learning.

The Collabera Way represents our fundamentals beliefs and is founded on the following building blocks:",,collabera
comerica bank,"Regions Financial, BBVA, Zions Bank",1849.0,"Dallas, TX",3.4,$2 to $5 billion (USD),Finance,5001 to 10000 employees,Company - Public,,,,comerica_bank
common securitization solutions,,,"Bethesda, MD",2.9,,Finance,201 to 500 employees,Company - Private,,,,common_securitization_solutions
community behavioral health,,1994.0,"Phila, PA",3.7,$500 million to $1 billion (USD),Health Care,201 to 500 employees,Company - Private,http://www.dbhids.org/,,,community_behavioral_health
compqsoft,,1997.0,"Houston, TX",3.4,$10 to $25 million (USD),Business Services,51 to 200 employees,Company - Private,http://www.compqsoft.com/,,,compqsoft
computer services,,1965.0,"Paducah, KY",3.9,$100 to $500 million (USD),Finance,1001 to 5000 employees,Company - Public,http://www.csiweb.com/,,,computer_services
"conch technologies, inc",,,"Memphis, TN",4.6,$5 to $10 million (USD),Business Services,51 to 200 employees,Company - Private,,,,conch_technology_inc
concord,,2003.0,"US, Hopkins, Minnesota",,,,100 to 499 employees,,https://concordusa.com/,"Concord is a consulting firm driving business value through the use of technology. Our expertise is centered on data.

We focus on five core capabilities: Data Experience, Data in Motion, Data at Rest, Data Analytics, and Data Privacy & Protection.

Our execution is backed by our proven process of Align - Define - Deliver.",,concord
confluent,,2014.0,"Mountain View, CA",4.7,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,,,,confluent
connexion systems and engineering,,,,,,,,,,,,connexion_systems_engineering
consolidation,,,,,,,,,,,,consolidation
"consultnet, llc",,1996.0,"South Jordan, UT",4.3,$50 to $100 million (USD),Business Services,201 to 500 employees,Company - Private,http://www.consultnet.com/,,,consultnet_llc
corcentric,,1996.0,"Cherry Hill, NJ",3.7,,Information Technology,201 to 500 employees,Company - Private,http://www.corcentric.com/,,,corcentric
cornerstone ondemand,"SAP, Oracle, Workday",1999.0,"Santa Monica, CA",3.9,$500 million to $1 billion (USD),Information Technology,1001 to 5000 employees,Company - Public,,,,cornerstone_ondemand
cortech llc,,,,,,,,,,,,cortech_llc
costar group,"First American Financial Corporation, Reis, PropertyInfo",1987.0,"Washington, DC",2.9,$1 to $2 billion (USD),Information Technology,1001 to 5000 employees,Company - Public,,,,costar_group
cottonwood financial,,1996.0,"US, Irving, Texas",,,,"1,000 to 1,499 employees",,https://www.monster.com/company/profiles/cottonwood-financial-administrative-services-llc/,"Founded in 1996, Cottonwood Financial is one of the largest privately held retail consumer finance companies in the United States. Headquartered in Irving (Las Colinas), Texas, we have company-owned locations, under our Cash Store brand, across the country. Through this national brick-and-mortar footprint, we provide best-in-class customer service and offer an innovative mix of financial products and services to our customers.
KEY COMPANY FACTS
Profitable every year since inception
Company has zero debt – growth is funded through internally generated capital
Locations are 100% company owned – no franchises
INDUSTRY
The US consumer finance industry has annual revenues exceeding $40 billion. Retail consumer finance companies serve a diverse mix of consumers who are seeking short-term cash loans as a low cost alternative to costly bank fees, late payment penalties, and other less desirable short-term credit options.
CURRENT PRODUCT MIX
Installment Loans
Title Loans
FULL-TIME EMPLOYEE BENEFITS
Medical, dental, and vision
Voluntary Life/ AD&D
Short-term & long-term disability
401K with company match
Paid vacation, holidays, and sick time
Paid maternity, paternity, extended medical leave and jury duty
Corporate discount program on personal cell phone accounts with select providers
Business casual work environment
VISION
Provide best-in-class customer service and offer an innovative mix of financial products and services to our customers.
COMPANY QUICK LOOK
Number of employees: 1000+
Work Environment: Business Casual
Year founded: 1996
Primary Business: Retail Consumer Finance
AWARDS
Named multiple times to the Inc. 5000 list of America's fastest-growing private companies.
Named multiple times to the Dallas 100 list of the fastest-growing private companies in North Texas.",,cottonwood_financial
country financial,"Northwestern Mutual, American Family Insurance, MetLife",1925.0,"Bloomington, IL",3.8,$2 to $5 billion (USD),Insurance,1001 to 5000 employees,Company - Private,,,,country_financial
"coursera, inc.",,,,,,,,,,,,coursera_inc
covance,,,,,,,,,,,,covance
"cpacket networks, inc.",,,,,,,,,,,,cpacket_networks_inc
creative employment solutions,,,,,,,,,,,,creative_employment_solutions
creator,,2010.0,"San Francisco, CA",4.5,Less than $1 million (USD),Manufacturing,51 to 200 employees,Company - Private,http://www.creator.rest/,,,creator
creator deck media,,,"San Francisco, CA",4.9,,,1 to 50 employees,Company - Private,,,,creator_deck_media
credence management solutions llc,,2005.0,"US, Vienna, Virginia",,,,100 to 499 employees,,http://credence-llc.com/,"Credence provides innovative, high-end management, engineering, and IT solutions to a variety of Government departments and agencies, delivering results efficiently and cost effectively. We act in an independent and objective capacity to support the mission and goals of each customer, providing solutions from large-scale business transformation to warfighter capabilities enhancement to enterprise-wide IT modernization. More specifically, our advanced and diverse capabilities include program management, information technology, management consulting, engineering, scientific expertise, logistics, financial support, and human capital services.",,credence_management_solutions
credit sesame,"Credit Karma, LendUp, SoFi",2010.0,"Mountain View, CA",4.1,$50 to $100 million (USD),Information Technology,51 to 200 employees,Company - Private,,,,credit_sesame
creehan company corporation,,,,,,,,,,,,creehan_company
crisp health,,,,,,,,,,,,crisp_health
crossix solutions,,2005.0,"New York, NY",3.5,,Business Services,201 to 500 employees,Company - Public,http://www.crossix.com/,,,crossix_solutions
crown bioscience,,2006.0,"San Diego, CA",2.4,$50 to $100 million (USD),Biotech & Pharmaceuticals,501 to 1000 employees,Company - Private,http://www.crownbio.com/,,,crown_bioscience
crum & forster,,,,,,,,,,,,crum_forster
csl behring,,,,,,,,,,,,csl_behring
ctc global,,,"Petaling Jaya, Malaysia",2.8,,,501 to 1000 employees,Subsidiary or Business Segment,,,,ctc_global
curtis instruments,,1960.0,"Mount Kisco, NY",4.4,$100 to $500 million (USD),Manufacturing,501 to 1000 employees,Company - Private,http://www.curtisinst.com/,,,curtis_instruments
cybercoders,,1999.0,"US, Irvine, California",,,,100 to 499 employees,,http://www.cybercoders.com,"CyberCoders, a division of On Assignment, is a leading permanent placement recruiting firm. Through our innovative technology and efficient recruiters, CyberCoders helps find the right candidate fast.
Founded in 1999, CyberCoders is built on a success oriented culture. Above all – we know both candidates and clients want quality and they want it now. No other recruiting firm can offer Cyrus, our proprietary technology built to search smarter and quicker, matching the best applicant to the right job.",http://www.wikidata.org/entity/Q23016736,cybercoders
cybercoders,,1999.0,"Irvine, CA",4.2,$100 to $500 million (USD),Business Services,201 to 500 employees,Subsidiary or Business Segment,http://www.cybercoders.com,,http://www.wikidata.org/entity/Q23016736,cybercoders
cybercore technologies,,2000.0,"Elkridge, MD",3.9,$100 to $500 million (USD),Business Services,201 to 500 employees,Company - Public,http://www.cybercoretech.com/,,,cybercore_technology
cybertec inc,,,,,,,,,,,,cybertec_inc
cyfor technologies llc,,,,,,,,,,,,cyfor_technology_llc
"dacra tech, llc",,2012.0,"Elgin, IL",5.0,,Information Technology,1 to 50 employees,Company - Private,,,,dacra_tech_llc
daily harvest,,,,,,,,,,,,daily_harvest
dasera inc,,,,,,,,,,,,dasera_inc
"dat solutions, llc",,,,,,,,,,,,dat_solutions_llc
data computer corporation of america (dcca),,,,,,,,,,,,data_computer_of
data decisions group llc,,,,,,,,,,,,data_decisions_group
"databricks, inc.",,,,,,,,,,,,databricks_inc
datavision inc,,2002.0,"US, Frenchtown, New Jersey",,,,50 to 99 employees,,http://datavision-inc.com/,"For more than two decades, Datavision has provided end-to-end networking solutions and IT staff outsourcing services for clients ranging from Tier 1 service providers to large enterprises.
Whether weâ€™re providing guidance for strategic business decisions or supplementing existing project or service teams, our goal is to help you future-proof your network.
As a full-service information technology firm, Datavisionâ€™s cost-effective networking solutions range from consulting and engineering to Software-Defined Networking (SDN) and Network Functions Virtualization (NFV) implementation and optimization. You get specialized networking solutions that drive key business processes â€” design and planning, network integration and migration, operational support and network optimization â€” allowing you to focus on overall business objectives.",,datavision_inc
datawave technologies,,,,,,,,,,,,datawave_technology
datum software,,,,,,,,,,,,datum_software
dcp midstream,,,,,,,,,,,,dcp_midstream
dcs corp,,1977.0,"Alexandria, VA",4.1,$100 to $500 million (USD),Business Services,1001 to 5000 employees,Company - Private,,,http://www.wikidata.org/entity/Q30282885,dcs_corp
dcs corporation,,1977.0,"US, Alexandria, Virginia",,,,500 to 999 employees,,https://www.dcscorp.com/,DCS creates innovative technology solutions for our customers in the national security sector. DCS employees develop successful working relationships with our customers to ensure that we meet our customers’ expectations and get the job done right.,,dcs
decisio health inc.,,,"Houston, TX",,,,1 to 50 employees,Unknown,,,,decisio_health_inc
decisive intel,,2014.0,"Huntsville, AL",,Less than $1 million (USD),Information Technology,1 to 50 employees,Company - Private,http://www.decisiveintel.com/,,,decisive_intel
decode_m,,,"New York, NY",,,,1 to 50 employees,Unknown,,,,decode_m
dell,,,,,,,,,,,,dell
delta dental,,,"US, Okemos, Michigan",,,,500 to 999 employees,,http://www.ddpmi.com,"The Delta Dental companies in Arkansas, Indiana, Kentucky, Michigan, New Mexico, North Carolina, Ohio, and Tennessee are part of a family of affiliated organizations, which collectively are among the largest dental plan administrators in the nation. In 2017, the enterprise paid out $3.7 billion for dental care for 13.3 million members. Offices are located in Sherwood and Little Rock, Arkansas; Indianapolis, Indiana; Louisville, Kentucky; Okemos and Farmington Hills, Michigan; Albuquerque, New Mexico; Raleigh and Charlotte, North Carolina; Cleveland, Cincinnati and Dublin, Ohio; and Nashville, Knoxville and Memphis, Tennessee.",,delta_dental
demandbase,"Engagio, Bombora, Terminus",2006.0,"San Francisco, CA",4.5,$100 to $500 million (USD),Information Technology,201 to 500 employees,Company - Private,http://www.demandbase.com/,,,demandbase
dematic,"Intelligrated, Daifuku, Viastore Systems",1819.0,"Atlanta, GA",3.9,,Manufacturing,5001 to 10000 employees,Subsidiary or Business Segment,,,,dematic
denovo solutions,,,"Centennial, CO",5.0,Less than $1 million (USD),,1 to 50 employees,Company - Public,,,,denovo_solutions
desc,,1979.0,"Seattle, WA",3.4,$25 to $50 million (USD),Non-Profit,501 to 1000 employees,Nonprofit Organization,http://www.desc.org/,,,desc
dev technology group,,,,,,,,,,,,dev_technology_group
dev30bo company5,,,,,,,,,,,,dev30bo_company5
dezign concepts llc,,,,,,,,,,,,dezign_concepts_llc
dialogtech,,2007.0,"Chicago, IL",4.4,,Information Technology,51 to 200 employees,Company - Private,http://www.dialogtech.com/,,,dialogtech
dick's sporting goods - corporate,"REI, Academy Sports + Outdoors, Cabela's",1948.0,"Coraopolis, PA",3.8,$5 to $10 billion (USD),Retail,10000+ employees,Company - Public,,,,dick's_sporting_goods
digital control inc,,1990.0,"Kent, WA",4.8,$10 to $25 million (USD),Manufacturing,51 to 200 employees,Company - Private,,,,digital_control_inc
digital creative institute,,2015.0,"San Antonio, TX",4.1,,Education,1 to 50 employees,Company - Private,,,,digital_creative_institute
"digital reasoning systems, inc.",,2000.0,"Franklin, TN",3.8,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,,,,digital_reasoning_systems
digital technology solutions,,2002.0,"US, West Bloomfield, Michigan",,,,50 to 99 employees,,http://www.dts-it.com/,"Digital Technology Solutions LLC (DTS) is a growing Information Technology services provider to Fortune 500 companies. DTS is a Michigan Minority Business Development Council (MMBDC) certified Minority Business Enterprise (MBE). DTS is recently certified as 8(a) Program Participant and Small Disadvantaged Business (SDB) by the US Small Business Administration (SBA). DTS is headquartered in Detroit, MI with operating location in Beavercreek, OH . DTS won â€œ2007 Best Small Businessâ€ award for Region-9 by Michigan Small Business Technology Development Center (Mi-SBTDC) and SBA.
DTS achieved overall performance score of 93 in the Past Performance Evaluation (PPE) conducted by Open Ratings, a division of Dun & BradStreet reflecting DTS customer-centric approach to delivering superior solutions meeting customer unique needs.
DTS founding partners have significant experience providing consulting services to large and small companies for nearly half-a-century. DTS staff has extensive â€˜hands-onâ€™ experience in successfully designing and implementing complex, mission critical systems.",,digital_technology_solutions
digital turbine,,2011.0,"Austin, TX",3.8,$100 to $500 million (USD),Information Technology,51 to 200 employees,Company - Public,,,,digital_turbine
dilanti media limited,,,,,,,,,,,,dilanti_media_limited
discovery communications,,,,,,,,,,,,discovery_communications
"diversant, llc",,1990.0,"US, 331 Newman Springs Road",,,,100 to 499 employees,,http://www.diversant.com/,"That’s simple—we are a fully certified Minority Owned Business Enterprise (MBE), and are the largest African-American owned IT staffing firm in the U.S. We offer a wide range of scalable IT staffing and diversity products, including IT staff augmentation, direct hire, and innovative diversity solutions.

Our products and services are based on original, “Best-In-Class” methodologies (transformative ideas) aimed at meeting the needs of clients and associates as well as the communities they serve. Utilizing a consultative approach and engaging our clients as true business partners, we help them solve critical issues rather than act as a simple commodity supplier.

At DIVERSANT, we believe that diversity in all its forms leads to greater opportunities for consultants and partners, and to more innovative solutions for clients.",,diversant_llc
"docomo innovations, inc.",,,,,,,,,,,,docomo_innovations_inc
doll inc.,,,,,,,,,,,,doll_inc
donnelley financial solutions,"Broadridge, Intralinks",2016.0,"Chicago, IL",2.7,,Information Technology,1001 to 5000 employees,Company - Public,http://www.dfinsolutions.com/,,,donnelley_financial_solutions
doubleverify,,2008.0,"New York, NY",3.2,,Information Technology,201 to 500 employees,Company - Private,,,,doubleverify
dreams are free llc,,,,,,,,,,,,dreams_are_free
drfirst,,2000.0,"Rockville, MD",2.8,,Health Care,201 to 500 employees,Company - Private,http://www.drfirst.com/,,,drfirst
drmp,,1977.0,"Orlando, FL",4.2,$50 to $100 million (USD),Business Services,201 to 500 employees,Company - Private,,,,drmp
dropbox,,2007.0,"San Francisco, CA",4.0,,Information Technology,1001 to 5000 employees,Company - Private,,,,dropbox
druva,"Rubrik, Commvault, Cohesity",2007.0,"Sunnyvale, CA",2.8,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,,,,druva
dsi tunneling llc,,,,,,,,,,,,dsi_tunneling_llc
dtg consulting solutions inc.,,1972.0,"US, Saddle Brook, New Jersey",,,,50 to 99 employees,,http://www.dtgconsulting.com,"Founded in 1972, DTG Consulting Solutions Inc. (DTG) is a US based IT Staffing and Solutions firm with a global reach. We have the experience, resources and contacts you need to take full advantage of today's business environment. Through the years DTG has accumulated and maintained institutional knowledge of our clients' businesses. Because of our extensive knowledge of the Global 1000 community, DTG's staff has the detailed information necessary to help you make the right decision for your future.

DTG fosters long-term business relationships with many of our Global 1000 clients. Referrals from satisfied candidates remain our largest source of qualified technical talent. With repeat business on both sides of the staffing solution, DTG has developed a reputation for providing experienced, well-versed professionals to major companies throughout the world.

How does DTG offer value to your search?
Over 40 Years Recruiting Experience
Proven, Successful Methodology
Vast Industry Knowledge
Thousands of Industry Contacts
Visit us at http://www.dtgconsulting.com and and follow us on Linkedin for more information on our company.",,dtg_consulting_solutions
"ducharme, mcmillen & associates",,1972.0,"Fort Wayne, IN",3.4,$50 to $100 million (USD),Accounting & Legal,201 to 500 employees,Company - Private,http://www.dmainc.com/,,,ducharme_mcmillen_associates
dynetics,,1974.0,"Huntsville, AL",3.8,$100 to $500 million (USD),Aerospace & Defense,1001 to 5000 employees,Company - Private,,,http://www.wikidata.org/entity/Q5319205,dynetics
e-trade,,,,,,,,,,,,e_trade
"eagle technologies, inc.",,2004.0,"Arlington, VA",4.1,$25 to $50 million (USD),Information Technology,51 to 200 employees,Company - Private,,,,eagle_technology_inc
easypost,,2012.0,"San Francisco, CA",3.5,,Information Technology,51 to 200 employees,Company - Private,,,,easypost
eatel,,1935.0,"Gonzales, LA",3.9,$100 to $500 million (USD),Telecommunications,201 to 500 employees,Company - Private,http://www.eatel.com/,,,eatel
eatstreet,Grubhub,2009.0,"Madison, WI",4.2,$1 to $5 million (USD),Information Technology,501 to 1000 employees,Company - Private,,,,eatstreet
echo global logistics,"C.H. Robinson, Total Quality Logistics, Coyote Logistics",2005.0,"Chicago, IL",3.4,$2 to $5 billion (USD),Transportation & Logistics,1001 to 5000 employees,Company - Public,,,,echo_global_logistics
eclaro,,1999.0,"US, 450 Seventh Avenue Suite 1102, New York",,,,500 to 999 employees,,http://www.eclaroit.com,"Eclaro is a Business and Technology Consulting Firm that connects top talent with opportunities nationwide. We have direct access to Hiring Managers from leading Fortune 1000 organizations in almost every industry segment, with particular expertise in:
• Technology and Business Consulting
• Financial Services and Insurance
• Pharmaceuticals and Life Sciences
• Consumer Products, Public Sector, and Utilities
Eclaro provides fully customizable, comprehensive talent acquisition and management of seasoned professionals through a number of business models, including:
• Consulting
• Professional Hiring
• Global Integrated Delivery™
• Managed Services
Eclaro recruits and manages a staff of highly skilled individuals in an array of specialized disciplines enabling our clients to leverage new opportunities, respond to increased and changing demands, and increase their profitability.
Eclaro’s Management Team averages over 25 years of experience in partnering with clients in technical, corporate operations and human capital solutions. We hold ISO 9001:2008 certification and have achieved SOC 2 Type 2 certification in Security, Availability and Confidentiality. Eclaro’s decades of expertise and collaborative practice have proven that The Right People are The Answer.",,eclaro
ecosystems,,1999.0,"McLean, VA",4.8,,Business Services,1 to 50 employees,Company - Private,,,,ecosystems
ecri institute,,1968.0,"Plymouth Meeting, PA",3.4,,Health Care,201 to 500 employees,Nonprofit Organization,,,,ecri_institute
"edi staffing, an edi specialists company",,1994.0,"US, Raynham, Massachusetts",,,,100 to 499 employees,,https://www.edistaffing.com/,"At EDI Staffing, we strive to provide the best staffing solutions for each of our business disciplines, in honest, resourceful, and creative techniques. Our mission is to connect talented people with great organizations across all industries, while maintaining our company values: accountability, innovation, integrity, teamwork and work ethic. Our commitment to our values becomes tangible in our daily customer interactions and lifetime customer relationships.",,edi_staffing_an
"edison software, inc.",,,"San Jose, CA",5.0,$1 to $5 million (USD),Information Technology,51 to 200 employees,Company - Private,,,,edison_software_inc
edmunds.com,"TrueCar, Cars.com, Kelley Blue Book",1966.0,"Santa Monica, CA",3.6,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,,,,edmundscom
edt engineers,,,,,,,,,http://www.dwfritz.com/,,,edt_engineers
edward daniels group,,2007.0,"New York, NY",,$1 to $5 million (USD),Information Technology,1 to 50 employees,Company - Private,,,,edward_daniels_group
edwards lifesciences,"Medtronic, Boston Scientific, St. Jude Medical",1961.0,"Irvine, CA",3.8,$2 to $5 billion (USD),Manufacturing,10000+ employees,Company - Public,,,http://www.wikidata.org/entity/Q16966841,edwards_lifesciences
"efolder, inc",,,,,,,,,,,,efolder_inc
electronic warfare assoc,,,,,,,,,,,,electronic_warfare_assoc
electronic warfare associates,,1991.0,"US, Cerritos, California",,,,500 to 999 employees,,http://www.ewa.com/,"Bringing together a broad range of creative, skilled, and dedicated professionals who are passionate about discovering ways to make a safer and secure world, and are committed to the success of our customers and our company.
At Electronic Warfare Associates, Inc., EWA, we proudly deliver the highest quality products and services across a broad range of technology and engineering specialties, with over 30 years of experience in overcoming technological challenges and delivering on-time solutions for our customers in the U.S. and across the globe.
With under 500 employees located in corporate offices and on-site throughout the United States and Canada, EWA provides focused attention to its customers. Our employees are highly skilled professionals with many years of experience in industry, government, and the military.
Understanding technology with the ability to apply it to complex problems is part of our corporate philosophy and underlies everything we do for every one of our customers. We provide the highest quality products and engineering services. We provide continuing support, anytime - anywhere. We do it right the first time and we provide our customers with a 100% effort, 100% of the time.
We at EWA look forward to doing business with you.",,electronic_warfare_associates
eliassen group,,1989.0,"US, Reading, Massachusetts",,,,"2,500 to 4,999 employees",,http://www.eliassen.com/,"Eliassen Group has been providing strategic consulting and talent solutions to drive our clients' innovation and business results for nearly 30 years. Our expertise in IT Staffing, Agile Consulting, Creative Services, Managed Services, Government Services, and the Life Sciences enables us to partner with our clients to execute their business strategy and scale effectively. The truly unique aspect of Eliassen Group is the community created by our employees, consultants, clients, and community partners. We pride ourselves on offering an ideal balance of a national reach, with office locations from coast to coast, without sacrificing our deep networks and local community presence. Where many consulting and talent solutions providers are focused on “the transaction,"" we believe in establishing and maintaining long-term partnerships with both our consultants and clients. As an Eliassen Group consultant, you can rest assured that you are a member of a community that not only supports you, but is also available to you 24/7 through our Consultant Advocate Program.",,eliassen_group
ellie mae,,1997.0,"Pleasanton, CA",3.3,$100 to $500 million (USD),Information Technology,1001 to 5000 employees,Company - Private,,,http://www.wikidata.org/entity/Q16974631,ellie_mae
